model,horizon,rmse,mae,n_test
Climatology,1,0.8352370135889706,0.7156792171129007,24
Naive_RandomWalk,1,0.8161033111711903,0.6743057465437797,24
Climatology,2,0.8681096463746103,0.757370373874448,23
Naive_RandomWalk,2,0.8624568321521571,0.695353089447964,23
Climatology,3,0.8747399699710539,0.7618224569099962,22
Naive_RandomWalk,3,0.8460389875420684,0.658307439290546,22
Climatology,4,0.8925746980658915,0.7752858265888876,21
Naive_RandomWalk,4,0.7734342053523339,0.6531003237026457,21
