year,month,rainfall
1865,7,86.0
1865,8,123.1
1865,9,25.2
1865,10,154.7
1865,11,101.0
1865,12,86.6
1866,1,148.3
1866,2,121.6
1866,3,78.4
1866,4,51.0
1866,5,42.5
1866,6,73.3
1866,7,75.9
1866,8,113.0
1866,9,159.4
1866,10,70.7
1866,11,112.6
1866,12,127.0
1867,1,118.5
1867,2,85.1
1867,3,73.2
1867,4,114.2
1867,5,72.1
1867,6,50.4
1867,7,109.2
1867,8,72.9
1867,9,82.5
1867,10,121.3
1867,11,36.0
1867,12,88.5
1868,1,137.2
1868,2,116.8
1868,3,105.4
1868,4,75.2
1868,5,56.2
1868,6,32.5
1868,7,23.2
1868,8,132.0
1868,9,82.9
1868,10,112.7
1868,11,79.0
1868,12,190.8
1869,1,127.2
1869,2,121.5
1869,3,53.7
1869,4,57.1
1869,5,83.6
1869,6,42.2
1869,7,38.7
1869,8,45.9
1869,9,156.5
1869,10,84.4
1869,11,117.2
1869,12,137.4
1870,1,76.0
1870,2,79.4
1870,3,48.6
1870,4,43.7
1870,5,58.9
1870,6,40.7
1870,7,47.3
1870,8,54.1
1870,9,74.2
1870,10,162.2
1870,11,77.5
1870,12,92.1
1871,1,75.3
1871,2,90.6
1871,3,62.9
1871,4,96.6
1871,5,31.4
1871,6,69.5
1871,7,124.8
1871,8,65.6
1871,9,112.0
1871,10,99.3
1871,11,60.4
1871,12,91.7
1872,1,165.8
1872,2,106.5
1872,3,85.3
1872,4,74.0
1872,5,76.7
1872,6,129.2
1872,7,109.7
1872,8,95.5
1872,9,135.1
1872,10,153.4
1872,11,158.6
1872,12,148.1
1873,1,141.1
1873,2,43.0
1873,3,72.1
1873,4,28.3
1873,5,66.1
1873,6,61.0
1873,7,104.7
1873,8,113.7
1873,9,92.1
1873,10,121.0
1873,11,85.9
1873,12,67.3
1874,1,105.3
1874,2,60.7
1874,3,75.2
1874,4,63.1
1874,5,43.8
1874,6,43.7
1874,7,65.8
1874,8,119.6
1874,9,122.0
1874,10,147.1
1874,11,107.5
1874,12,90.6
1875,1,140.4
1875,2,47.0
1875,3,40.0
1875,4,42.0
1875,5,65.9
1875,6,86.0
1875,7,116.4
1875,8,85.8
1875,9,105.7
1875,10,145.7
1875,11,137.8
1875,12,79.4
1876,1,68.9
1876,2,111.8
1876,3,123.1
1876,4,81.2
1876,5,24.9
1876,6,72.5
1876,7,57.8
1876,8,90.9
1876,9,120.7
1876,10,103.0
1876,11,103.6
1876,12,189.9
1877,1,165.7
1877,2,102.7
1877,3,79.2
1877,4,83.4
1877,5,78.6
1877,6,82.8
1877,7,113.1
1877,8,140.2
1877,9,72.9
1877,10,125.4
1877,11,170.3
1877,12,110.6
1878,1,93.5
1878,2,55.5
1878,3,58.8
1878,4,60.1
1878,5,114.5
1878,6,77.1
1878,7,37.2
1878,8,135.4
1878,9,101.7
1878,10,121.7
1878,11,108.6
1878,12,74.2
1879,1,62.2
1879,2,87.4
1879,3,62.7
1879,4,62.6
1879,5,75.0
1879,6,126.5
1879,7,127.5
1879,8,143.1
1879,9,110.4
1879,10,52.6
1879,11,46.9
1879,12,61.6
1880,1,42.1
1880,2,106.2
1880,3,57.2
1880,4,75.3
1880,5,41.6
1880,6,78.5
1880,7,134.7
1880,8,36.9
1880,9,106.4
1880,10,116.0
1880,11,119.5
1880,12,120.6
1881,1,32.6
1881,2,106.0
1881,3,91.4
1881,4,36.6
1881,5,61.8
1881,6,85.5
1881,7,93.2
1881,8,129.9
1881,9,71.0
1881,10,92.2
1881,11,132.5
1881,12,113.3
1882,1,88.1
1882,2,84.4
1882,3,94.2
1882,4,103.0
1882,5,58.4
1882,6,109.2
1882,7,126.5
1882,8,85.9
1882,9,92.0
1882,10,130.8
1882,11,145.9
1882,12,129.4
1883,1,120.5
1883,2,120.3
1883,3,53.6
1883,4,49.1
1883,5,57.5
1883,6,79.3
1883,7,98.3
1883,8,84.8
1883,9,126.0
1883,10,114.9
1883,11,133.3
1883,12,87.0
1884,1,143.0
1884,2,96.2
1884,3,84.7
1884,4,44.1
1884,5,63.0
1884,6,41.0
1884,7,105.9
1884,8,63.0
1884,9,77.3
1884,10,86.8
1884,11,88.9
1884,12,125.6
1885,1,79.4
1885,2,117.8
1885,3,63.5
1885,4,65.3
1885,5,81.4
1885,6,56.8
1885,7,38.9
1885,8,64.2
1885,9,145.9
1885,10,135.5
1885,11,93.5
1885,12,72.4
1886,1,125.9
1886,2,42.1
1886,3,85.8
1886,4,61.8
1886,5,112.8
1886,6,40.6
1886,7,99.9
1886,8,59.2
1886,9,93.5
1886,10,127.5
1886,11,108.2
1886,12,140.0
1887,1,91.5
1887,2,53.5
1887,3,51.1
1887,4,50.4
1887,5,49.1
1887,6,25.6
1887,7,63.4
1887,8,68.1
1887,9,98.2
1887,10,74.8
1887,11,93.8
1887,12,87.4
1888,1,62.1
1888,2,42.8
1888,3,95.2
1888,4,60.1
1888,5,57.6
1888,6,74.3
1888,7,142.2
1888,8,90.6
1888,9,40.7
1888,10,73.7
1888,11,164.8
1888,12,89.9
1889,1,63.2
1889,2,80.4
1889,3,78.2
1889,4,83.3
1889,5,77.4
1889,6,24.6
1889,7,75.6
1889,8,125.5
1889,9,61.3
1889,10,116.3
1889,11,58.9
1889,12,86.9
1890,1,145.8
1890,2,30.0
1890,3,83.5
1890,4,46.9
1890,5,60.5
1890,6,89.5
1890,7,97.0
1890,8,106.1
1890,9,69.0
1890,10,95.3
1890,11,150.0
1890,12,37.9
1891,1,79.3
1891,2,24.2
1891,3,71.8
1891,4,45.5
1891,5,78.1
1891,6,53.1
1891,7,87.5
1891,8,155.8
1891,9,100.7
1891,10,156.7
1891,11,101.8
1891,12,153.4
1892,1,83.0
1892,2,63.7
1892,3,33.4
1892,4,37.7
1892,5,82.8
1892,6,84.3
1892,7,71.8
1892,8,122.9
1892,9,110.6
1892,10,138.0
1892,11,88.5
1892,12,61.2
1893,1,68.0
1893,2,117.5
1893,3,34.6
1893,4,23.1
1893,5,49.5
1893,6,44.8
1893,7,96.3
1893,8,86.6
1893,9,84.8
1893,10,116.4
1893,11,90.5
1893,12,127.6
1894,1,118.0
1894,2,140.8
1894,3,75.5
1894,4,50.8
1894,5,77.9
1894,6,71.4
1894,7,103.2
1894,8,105.5
1894,9,32.3
1894,10,108.1
1894,11,118.6
1894,12,99.4
1895,1,92.0
1895,2,17.8
1895,3,91.5
1895,4,63.8
1895,5,21.8
1895,6,48.3
1895,7,119.1
1895,8,114.8
1895,9,40.7
1895,10,117.1
1895,11,127.1
1895,12,105.9
1896,1,58.9
1896,2,43.5
1896,3,117.3
1896,4,47.7
1896,5,18.8
1896,6,81.7
1896,7,81.1
1896,8,75.6
1896,9,150.4
1896,10,124.0
1896,11,46.5
1896,12,141.6
1897,1,55.7
1897,2,86.9
1897,3,129.5
1897,4,69.1
1897,5,51.2
1897,6,91.7
1897,7,51.8
1897,8,121.3
1897,9,100.4
1897,10,58.9
1897,11,82.3
1897,12,137.9
1898,1,68.4
1898,2,89.1
1898,3,55.0
1898,4,79.8
1898,5,86.4
1898,6,64.6
1898,7,34.7
1898,8,104.4
1898,9,67.6
1898,10,119.0
1898,11,110.3
1898,12,142.8
1899,1,131.2
1899,2,76.2
1899,3,63.8
1899,4,99.1
1899,5,78.1
1899,6,48.0
1899,7,67.6
1899,8,41.1
1899,9,116.4
1899,10,90.2
1899,11,110.1
1899,12,96.6
1900,1,131.0
1900,2,113.7
1900,3,33.9
1900,4,62.9
1900,5,64.6
1900,6,85.4
1900,7,72.1
1900,8,120.2
1900,9,64.5
1900,10,125.2
1900,11,112.0
1900,12,163.2
1901,1,71.2
1901,2,52.2
1901,3,78.0
1901,4,77.2
1901,5,39.7
1901,6,69.2
1901,7,61.4
1901,8,89.6
1901,9,65.8
1901,10,96.1
1901,11,85.3
1901,12,139.8
1902,1,69.7
1902,2,44.4
1902,3,73.4
1902,4,55.2
1902,5,79.2
1902,6,65.4
1902,7,70.5
1902,8,87.1
1902,9,64.7
1902,10,84.9
1902,11,83.5
1902,12,104.2
1903,1,131.5
1903,2,108.4
1903,3,147.3
1903,4,59.6
1903,5,78.5
1903,6,67.0
1903,7,113.5
1903,8,146.0
1903,9,102.0
1903,10,220.0
1903,11,88.2
1903,12,82.1
1904,1,108.5
1904,2,109.7
1904,3,59.4
1904,4,85.2
1904,5,75.9
1904,6,46.3
1904,7,71.5
1904,8,105.8
1904,9,73.2
1904,10,58.8
1904,11,73.8
1904,12,95.9
1905,1,62.2
1905,2,65.0
1905,3,117.5
1905,4,76.2
1905,5,38.0
1905,6,65.8
1905,7,52.7
1905,8,118.6
1905,9,72.2
1905,10,83.7
1905,11,122.9
1905,12,57.7
1906,1,142.5
1906,2,87.9
1906,3,73.2
1906,4,44.7
1906,5,101.7
1906,6,51.0
1906,7,55.0
1906,8,94.4
1906,9,42.8
1906,10,153.4
1906,11,122.2
1906,12,98.8
1907,1,61.9
1907,2,71.0
1907,3,72.0
1907,4,78.1
