year,month,rainfall
1963,2,34.3
1963,3,120.7
1963,4,82.5
1963,5,76.9
1963,6,87.5
1963,7,64.0
1963,8,113.4
1963,9,88.8
1963,10,92.1
1963,11,168.6
1963,12,39.6
1964,1,43.8
1964,2,38.0
1964,3,80.9
1964,4,77.9
1964,5,75.0
1964,6,77.7
1964,7,68.9
1964,8,87.5
1964,9,74.4
1964,10,79.7
1964,11,86.7
1964,12,128.3
1965,1,122.7
1965,2,24.7
1965,3,76.6
1965,4,80.8
1965,5,70.8
1965,6,89.6
1965,7,101.5
1965,8,90.0
1965,9,141.7
1965,10,70.9
1965,11,106.6
1965,12,163.2
1966,1,64.9
1966,2,126.1
1966,3,75.3
1966,4,91.3
1966,5,86.3
1966,6,104.8
1966,7,73.0
1966,8,100.3
1966,9,74.9
1966,10,124.9
1966,11,106.8
1966,12,159.1
1967,1,83.5
1967,2,109.1
1967,3,106.6
1967,4,56.1
1967,5,131.8
1967,6,50.8
1967,7,78.9
1967,8,83.9
1967,9,116.5
1967,10,196.8
1967,11,92.9
1967,12,97.5
1968,1,104.4
1968,2,53.7
1968,3,92.8
1968,4,67.2
1968,5,84.2
1968,6,79.2
1968,7,97.9
1968,8,67.8
1968,9,135.4
1968,10,132.2
1968,11,75.8
1968,12,81.2
1969,1,111.6
1969,2,72.2
1969,3,59.7
1969,4,64.4
1969,5,108.4
1969,6,67.2
1969,7,70.6
1969,8,76.8
1969,9,70.1
1969,10,59.0
1969,11,144.1
1969,12,98.2
1970,1,108.7
1970,2,107.2
1970,3,78.0
1970,4,92.8
1970,5,41.7
1970,6,53.6
1970,7,98.5
1970,8,94.7
1970,9,97.1
1970,10,111.1
1970,11,174.1
1970,12,63.0
1971,1,113.4
1971,2,59.1
1971,3,75.8
1971,4,54.8
1971,5,58.0
1971,6,89.1
1971,7,57.4
1971,8,106.4
1971,9,37.0
1971,10,102.7
1971,11,113.6
1971,12,68.4
1972,1,116.7
1972,2,81.4
1972,3,77.8
1972,4,89.0
1972,5,89.5
1972,6,92.5
1972,7,57.8
1972,8,52.9
1972,9,36.2
1972,10,48.1
1972,11,126.3
1972,12,118.3
1973,1,69.8
1973,2,68.9
1973,3,42.7
1973,4,72.2
1973,5,85.6
1973,6,68.3
1973,7,86.5
1973,8,83.0
1973,9,86.6
1973,10,62.2
1973,11,96.8
1973,12,106.5
1974,1,172.5
1974,2,112.2
1974,3,53.1
1974,4,14.6
1974,5,55.5
1974,6,64.8
1974,7,87.8
1974,8,93.0
1974,9,145.1
1974,10,95.1
1974,11,148.1
1974,12,139.1
1975,1,168.7
1975,2,36.5
1975,3,70.5
1975,4,80.8
1975,5,41.8
1975,6,35.7
1975,7,80.1
1975,8,61.7
1975,9,128.6
1975,10,53.5
1975,11,95.7
1975,12,67.9
1976,1,111.3
1976,2,61.9
1976,3,77.4
1976,4,35.8
1976,5,84.5
1976,6,38.7
1976,7,44.4
1976,8,24.2
1976,9,141.7
1976,10,163.4
1976,11,98.4
1976,12,92.6
1977,1,103.4
1977,2,132.4
1977,3,94.5
1977,4,80.4
1977,5,56.1
1977,6,77.1
1977,7,38.9
1977,8,97.0
1977,9,80.7
1977,10,107.0
1977,11,142.3
1977,12,93.7
1978,1,126.9
1978,2,85.0
1978,3,114.3
1978,4,47.9
1978,5,38.7
1978,6,62.0
1978,7,84.9
1978,8,77.1
1978,9,102.3
1978,10,52.4
1978,11,113.6
1978,12,157.4
1979,1,94.5
1979,2,53.6
1979,3,144.0
1979,4,75.8
1979,5,107.3
1979,6,51.1
1979,7,57.3
1979,8,107.2
1979,9,73.4
1979,10,101.5
1979,11,136.0
1979,12,170.3
1980,1,90.7
1980,2,93.8
1980,3,102.7
1980,4,18.4
1980,5,28.4
1980,6,125.4
1980,7,84.4
1980,8,103.7
1980,9,109.3
1980,10,148.4
1980,11,119.5
1980,12,130.8
1981,1,97.8
1981,2,69.6
1981,3,153.9
1981,4,49.2
1981,5,89.4
1981,6,66.7
1981,7,66.5
1981,8,45.9
1981,9,172.5
1981,10,157.2
1981,11,125.7
1981,12,87.5
1982,1,102.1
1982,2,73.2
1982,3,120.4
1982,4,31.0
1982,5,60.7
1982,6,99.0
1982,7,39.7
1982,8,110.3
1982,9,119.8
1982,10,141.0
1982,11,161.5
1982,12,140.8
1983,1,149.9
1983,2,46.7
1983,3,98.8
1983,4,89.9
1983,5,105.5
1983,6,51.0
1983,7,38.3
1983,8,38.6
1983,9,123.2
1983,10,140.6
1983,11,51.1
1983,12,151.5
1984,1,170.1
1984,2,77.5
1984,3,73.9
1984,4,28.4
1984,5,45.4
1984,6,51.8
1984,7,36.7
1984,8,56.5
1984,9,131.6
1984,10,137.3
1984,11,171.3
1984,12,109.8
1985,1,76.4
1985,2,35.2
1985,3,77.3
1985,4,84.7
1985,5,68.8
1985,6,90.6
1985,7,105.7
1985,8,158.4
1985,9,100.2
1985,10,59.3
1985,11,98.7
1985,12,147.1
1986,1,146.3
1986,2,17.2
1986,3,110.6
1986,4,84.7
1986,5,118.5
1986,6,49.2
1986,7,66.6
1986,8,120.5
1986,9,35.4
1986,10,118.1
1986,11,158.2
1986,12,187.9
1987,1,45.0
1987,2,68.7
1987,3,112.4
1987,4,64.9
1987,5,55.0
1987,6,103.4
1987,7,85.6
1987,8,87.2
1987,9,93.7
1987,10,164.1
1987,11,91.2
1987,12,89.9
1988,1,169.9
1988,2,90.3
1988,3,126.7
1988,4,52.8
1988,5,58.5
1988,6,37.0
1988,7,150.6
1988,8,117.0
1988,9,93.2
1988,10,118.6
1988,11,65.2
1988,12,81.2
1989,1,97.4
1989,2,137.8
1989,3,124.5
1989,4,79.1
1989,5,32.0
1989,6,62.8
1989,7,42.0
1989,8,102.7
1989,9,58.9
1989,10,128.4
1989,11,60.5
1989,12,119.0
1990,1,169.8
1990,2,193.4
1990,3,94.8
1990,4,60.1
1990,5,35.6
1990,6,93.8
1990,7,49.4
1990,8,72.8
1990,9,82.2
1990,10,142.6
1990,11,78.9
1990,12,130.2
1991,1,111.4
1991,2,70.4
1991,3,94.1
1991,4,90.9
1991,5,22.6
1991,6,103.5
1991,7,76.5
1991,8,43.2
1991,9,84.0
1991,10,107.2
1991,11,138.3
1991,12,82.5
1992,1,78.9
1992,2,89.6
1992,3,127.9
1992,4,91.1
1992,5,58.9
1992,6,39.2
1992,7,86.7
1992,8,162.9
1992,9,118.1
1992,10,95.9
1992,11,161.2
1992,12,107.0
1993,1,175.4
1993,2,33.1
1993,3,58.9
1993,4,102.6
1993,5,98.6
1993,6,68.4
1993,7,94.5
1993,8,62.1
1993,9,99.7
1993,10,94.0
1993,11,73.5
1993,12,188.7
1994,1,154.0
1994,2,88.6
1994,3,146.3
1994,4,94.5
1994,5,49.6
1994,6,62.8
1994,7,54.3
1994,8,82.7
1994,9,103.1
1994,10,98.4
1994,11,108.0
1994,12,174.2
1995,1,181.0
1995,2,143.0
1995,3,94.1
1995,4,40.6
1995,5,59.7
1995,6,29.7
1995,7,57.9
1995,8,18.4
1995,9,135.5
1995,10,117.2
1995,11,99.8
1995,12,73.4
1996,1,74.7
1996,2,101.7
1996,3,48.7
1996,4,72.9
1996,5,65.6
1996,6,42.2
1996,7,55.2
1996,8,78.5
1996,9,44.4
1996,10,136.7
1996,11,147.6
1996,12,66.9
1997,1,29.0
1997,2,168.3
1997,3,66.9
1997,4,43.1
1997,5,87.4
1997,6,116.0
1997,7,63.9
1997,8,83.9
1997,9,61.8
1997,10,72.4
1997,11,123.3
1997,12,133.1
1998,1,134.2
1998,2,81.8
1998,3,105.1
1998,4,121.1
1998,5,41.3
1998,6,121.8
1998,7,93.1
1998,8,79.0
1998,9,92.6
1998,10,187.7
1998,11,118.4
1998,12,122.6
1999,1,164.9
1999,2,83.1
1999,3,88.7
1999,4,88.6
1999,5,75.9
1999,6,93.8
1999,7,46.1
1999,8,91.9
1999,9,140.2
1999,10,93.4
1999,11,109.5
1999,12,195.5
2000,1,101.9
2000,2,131.7
2000,3,67.7
2000,4,123.9
2000,5,77.7
2000,6,58.3
2000,7,59.7
2000,8,85.5
2000,9,133.7
2000,10,199.6
2000,11,176.3
2000,12,156.8
2001,1,79.0
2001,2,97.0
2001,3,85.6
2001,4,89.6
2001,5,43.3
2001,6,58.0
2001,7,81.7
2001,8,96.9
2001,9,88.9
2001,10,165.3
2001,11,95.0
2001,12,69.7
2002,1,134.3
2002,2,175.3
2002,3,75.5
2002,4,68.0
2002,5,101.6
2002,6,86.8
2002,7,98.5
2002,8,73.8
2002,9,40.6
2002,10,153.8
2002,11,163.1
2002,12,109.2
2003,1,113.9
2003,2,48.3
2003,3,53.7
2003,4,50.4
2003,5,98.0
2003,6,71.2
2003,7,78.3
2003,8,26.7
2003,9,53.8
2003,10,63.9
2003,11,120.6
2003,12,121.9
2004,1,150.1
2004,2,74.4
2004,3,70.1
2004,4,92.8
2004,5,51.0
2004,6,84.8
2004,7,70.2
2004,8,159.7
2004,9,103.1
2004,10,165.4
2004,11,75.2
2004,12,110.6
2005,1,126.7
2005,2,69.9
2005,3,72.7
2005,4,90.9
2005,5,72.7
2005,6,71.7
2005,7,59.4
2005,8,85.5
2005,9,91.9
2005,10,141.7
2005,11,115.9
2005,12,80.6
2006,1,59.3
2006,2,65.0
2006,3,110.1
2006,4,67.5
2006,5,112.6
2006,6,42.0
2006,7,53.1
2006,8,92.0
2006,9,102.5
2006,10,142.0
2006,11,153.1
2006,12,172.5
2007,1,152.3
2007,2,110.0
2007,3,87.4
2007,4,26.4
2007,5,114.1
2007,6,136.1
2007,7,134.6
2007,8,85.8
2007,9,67.0
2007,10,64.5
2007,11,100.4
2007,12,114.0
2008,1,189.3
2008,2,81.8
2008,3,122.6
2008,4,76.2
2008,5,47.7
2008,6,78.7
2008,7,108.1
2008,8,135.0
2008,9,105.6
2008,10,154.4
2008,11,105.8
2008,12,87.5
2009,1,119.4
2009,2,59.8
2009,3,78.9
2009,4,60.0
2009,5,81.7
2009,6,61.9
2009,7,145.5
2009,8,114.5
2009,9,63.8
2009,10,107.4
2009,11,214.8
2009,12,100.3
2010,1,79.6
2010,2,74.7
2010,3,78.7
2010,4,47.5
2010,5,38.9
2010,6,38.4
2010,7,107.0
2010,8,97.5
2010,9,113.3
2010,10,100.5
2010,11,122.7
2010,12,47.1
2011,1,102.2
2011,2,113.8
2011,3,49.5
2011,4,35.7
2011,5,100.7
2011,6,84.7
2011,7,75.7
2011,8,105.4
2011,9,107.4
2011,10,122.0
2011,11,99.0
2011,12,166.7
2012,1,110.2
2012,2,59.4
2012,3,36.7
2012,4,128.2
2012,5,65.6
2012,6,149.0
2012,7,118.5
2012,8,111.3
2012,9,111.8
2012,10,125.6
2012,11,135.1
2012,12,178.3
2013,1,109.7
2013,2,59.6
2013,3,64.4
2013,4,62.9
2013,5,91.8
2013,6,48.5
2013,7,65.2
2013,8,72.2
2013,9,71.0
2013,10,162.6
2013,11,90.4
2013,12,185.6
2014,1,186.7
2014,2,167.6
2014,3,79.7
2014,4,67.5
2014,5,99.3
2014,6,54.7
2014,7,64.0
2014,8,138.0
2014,9,22.6
2014,10,157.1
2014,11,123.3
2014,12,131.3
2015,1,153.6
2015,2,79.9
2015,3,94.9
2015,4,45.5
2015,5,109.7
2015,6,56.0
2015,7,107.6
2015,8,104.8
2015,9,51.9
2015,10,72.0
2015,11,171.9
2015,12,216.3
2016,1,178.4
2016,2,110.1
2016,3,83.8
2016,4,77.4
2016,5,61.5
2016,6,96.0
2016,7,78.5
2016,8,85.2
2016,9,96.3
2016,10,47.0
2016,11,104.9
2016,12,77.2
2017,1,76.0
2017,2,93.4
2017,3,97.8
2017,4,33.2
2017,5,57.2
2017,6,110.4
2017,7,101.2
2017,8,102.3
2017,9,117.2
2017,10,101.4
2017,11,107.6
2017,12,120.8
2018,1,132.4
2018,2,68.6
2018,3,103.9
2018,4,83.7
2018,5,47.7
2018,6,34.6
2018,7,54.2
2018,8,83.1
2018,9,101.5
2018,10,104.2
2018,11,121.6
2018,12,117.6
2019,1,64.6
2019,2,71.1
2019,3,128.9
2019,4,48.5
2019,5,63.6
2019,6,109.0
2019,7,89.0
2019,8,132.7
2019,9,126.1
2019,10,139.7
2019,11,119.1
2019,12,139.8
2020,1,121.2
2020,2,213.7
2020,3,78.6
2020,4,30.0
2020,5,32.8
2020,6,107.5
2020,7,95.8
2020,8,122.2
2020,9,77.3
2020,10,182.8
2020,11,104.8
2020,12,166.9
2021,1,140.0
2021,2,105.5
2021,3,87.1
2021,4,20.6
2021,5,120.8
2021,6,44.8
2021,7,74.6
2021,8,66.7
2021,9,82.5
2021,10,167.9
2021,11,80.9
2021,12,114.5
2022,1,63.1
2022,2,152.3
2022,3,50.5
2022,4,49.5
2022,5,76.9
2022,6,61.8
2022,7,48.2
2022,8,51.6
2022,9,104.6
2022,10,146.9
2022,11,167.6
2022,12,117.8
2023,1,129.0
2023,2,45.1
2023,3,133.9
2023,4,73.4
2023,5,39.7
2023,6,54.7
2023,7,141.9
2023,8,89.4
2023,9,121.4
2023,10,177.7
2023,11,121.5
2023,12,194.5
2024,1,123.3
2024,2,144.0
2024,3,108.0
2024,4,109.5
2024,5,83.4
2024,6,55.2
2024,7,84.7
2024,8,104.3
2024,9,116.8
2024,10,105.7
2024,11,88.1
2024,12,146.0
2025,1,98.6
2025,2,72.5
2025,3,36.6
2025,4,40.3
2025,5,50.7
2025,6,81.9
2025,7,74.0
2025,8,59.1
2025,9,120.9
2025,10,123.9
2025,11,164.6
2025,12,138.4
