year,month,tas
2022,1,4.7
2022,2,5.6
2022,3,6.7
2022,4,8.1
2022,5,11.8
2022,6,13.9
2022,7,16.5
2022,8,16.6
2022,9,13.4
2022,10,11.6
2022,11,8.2
2022,12,2.9
2023,1,4.4
2023,2,5.8
2023,3,5.7
2023,4,7.8
2023,5,11.6
2023,6,15.8
2023,7,15.0
2023,8,15.3
2023,9,15.2
2023,10,10.7
2023,11,6.3
2023,12,5.8
2024,1,3.8
2024,2,6.3
2024,3,6.7
2024,4,8.3
2024,5,13.1
2024,6,12.9
2024,7,14.8
2024,8,15.4
2024,9,12.7
2024,10,10.5
2024,11,6.7
2024,12,6.2
2025,1,3.0
2025,2,4.6
2025,3,7.0
2025,4,9.6
2025,5,12.0
2025,6,15.2
2025,7,16.8
2025,8,16.3
2025,9,12.8
2025,10,10.4
2025,11,7.2
2025,12,5.8
