model,horizon,pi_coverage_95,avg_pi_width,n_test
ARIMA,1,79.2%,2.11,24
ARIMA,2,87.0%,2.265,23
ARIMA,3,95.5%,2.47,22
ARIMA,4,90.5%,2.57,21
Prophet,1,75.0%,1.576,24
Prophet,2,73.9%,1.597,23
Prophet,3,72.7%,1.584,22
Prophet,4,61.9%,1.586,21
